generations,Ne
0,10000.0
1,10000.0
2,10000.0
3,10000.0
4,10000.0
5,10000.0
6,10000.0
7,10000.0
8,10000.0
9,10000.0
10,10000.0
11,10000.0
12,10000.0
13,10000.0
14,10000.0
15,10000.0
16,10000.0
17,10000.0
18,10000.0
19,10000.0
20,10000.0
21,10000.0
22,10000.0
23,10000.0
24,10000.0
25,10000.0
26,10000.0
27,10000.0
28,10000.0
29,10000.0
30,10000.0
31,10000.0
32,10000.0
33,10000.0
34,10000.0
35,10000.0
36,10000.0
37,10000.0
38,10000.0
39,10000.0
40,10000.0
41,10000.0
42,10000.0
43,10000.0
44,10000.0
45,10000.0
46,10000.0
47,10000.0
48,10000.0
49,10000.0
50,10000.0
51,10000.0
52,10000.0
53,10000.0
54,10000.0
55,10000.0
56,10000.0
57,10000.0
58,10000.0
59,10000.0
60,10000.0
61,10000.0
62,10000.0
63,10000.0
64,10000.0
65,10000.0
66,10000.0
67,10000.0
68,10000.0
69,10000.0
70,10000.0
71,10000.0
72,10000.0
73,10000.0
74,10000.0
75,10000.0
76,10000.0
77,10000.0
78,10000.0
79,10000.0
80,10000.0
81,10000.0
82,10000.0
83,10000.0
84,10000.0
85,10000.0
86,10000.0
87,10000.0
88,10000.0
89,10000.0
90,10000.0
91,10000.0
92,10000.0
93,10000.0
94,10000.0
95,10000.0
96,10000.0
97,10000.0
98,10000.0
99,10000.0
100,10000.0
101,10000.0
102,10000.0
103,10000.0
104,10000.0
105,10000.0
106,10000.0
107,10000.0
108,10000.0
109,10000.0
110,10000.0
111,10000.0
112,10000.0
113,10000.0
114,10000.0
115,10000.0
116,10000.0
117,10000.0
118,10000.0
119,10000.0
120,10000.0
121,10000.0
122,10000.0
123,10000.0
124,10000.0
125,10000.0
126,10000.0
127,10000.0
128,10000.0
129,10000.0
130,10000.0
131,10000.0
132,10000.0
133,10000.0
134,10000.0
135,10000.0
136,10000.0
137,10000.0
138,10000.0
139,10000.0
140,10000.0
141,10000.0
142,10000.0
143,10000.0
144,10000.0
145,10000.0
146,10000.0
147,10000.0
148,10000.0
149,10000.0
150,10000.0
151,10000.0
152,10000.0
153,10000.0
154,10000.0
155,10000.0
156,10000.0
157,10000.0
158,10000.0
159,10000.0
160,10000.0
161,10000.0
162,10000.0
163,10000.0
164,10000.0
165,10000.0
166,10000.0
167,10000.0
168,10000.0
169,10000.0
170,10000.0
171,10000.0
172,10000.0
173,10000.0
174,10000.0
175,10000.0
176,10000.0
177,10000.0
178,10000.0
179,10000.0
180,10000.0
181,10000.0
182,10000.0
183,10000.0
184,10000.0
185,10000.0
186,10000.0
187,10000.0
188,10000.0
189,10000.0
190,10000.0
191,10000.0
192,10000.0
193,10000.0
194,10000.0
195,10000.0
196,10000.0
197,10000.0
198,10000.0
199,10000.0
200,10000.0
201,9772.372209558107
202,9549.92586021436
203,9332.54300796991
204,9120.108393559098
205,8912.509381337455
206,8709.635899560806
207,8511.380382023764
208,8317.63771102671
209,8128.305161640993
210,7943.2823472428145
211,7762.471166286918
212,7585.7757502918375
213,7413.102413009175
214,7244.359600749901
215,7079.457843841379
216,6918.309709189365
217,6760.829753919818
218,6606.93448007596
219,6456.542290346555
220,6309.573444801932
221,6165.950018614822
222,6025.595860743578
223,5888.43655355589
224,5754.39937337157
225,5623.413251903491
226,5495.408738576246
227,5370.317963702528
228,5248.074602497726
229,5128.61383991365
230,5011.872336272723
231,4897.788193684462
232,4786.300923226384
233,4677.351412871983
234,4570.8818961487505
235,4466.835921509631
236,4365.1583224016595
237,4265.795188015927
238,4168.693834703354
239,4073.802778041127
240,3981.071705534973
241,3890.451449942806
242,3801.8939632056126
243,3715.352290971726
244,3630.7805477010133
245,3548.133892335755
246,3467.3685045253173
247,3388.4415613920255
248,3311.3112148259115
249,3235.936569296283
250,3162.2776601683795
251,3090.2954325135906
252,3019.9517204020167
253,2951.2092266663863
254,2884.0315031266064
255,2818.3829312644543
256,2754.2287033381663
257,2691.534803926916
258,2630.2679918953827
259,2570.395782768864
260,2511.8864315095807
261,2454.7089156850307
262,2398.832919019491
263,2344.2288153199224
264,2290.867652767773
265,2238.72113856834
266,2187.761623949553
267,2137.9620895022326
268,2089.2961308540393
269,2041.7379446695297
270,1995.2623149688798
271,1949.8445997580454
272,1905.4607179632476
